"Дата создания","Средняя зарплата","дата без времени ","published_at","salary_from Замена","salary_to Замена","salary_from Заменен","salary_to Заменен","name","id","has_test","response_letter_required","salary_currency","created_at","parsed_at","url","employer_name","description","alternate_url","area_id","area_name","salary_gross","Перевод в рубли salary_to","Перевод в рубли salary_from"
"2021","185000","2021-12-01","2021-12-01 13:01:37+00","150000","220000","","","Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote)","50110805","","","RUR","2021-12-01 13:01:37+00","2021-12-01 15:12:48.95794+00","https://api.hh.ru/vacancies/50110805?host=hh.ru","ЮТэйр, Авиакомпания","<p><strong>Utair - российская авиакомпания.</strong></p> <p><strong>Мы летаем по 150 направлениям и перевозим ежегодно около 8 млн человек, более 60 из которых доступны только нашим пассажирам.</strong></p> <p>Мы занимаемся разработкой собственных коммерческих сервисов и создаем высоконагруженные проекты, которыми пользуются наши клиенты. Придерживаемся методик CI/CD и меряем наши успехи.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Работать над улучшением коммерческих сервисов авиакомпании;</p> </li> </ul> <ul> <li> <p>Разрабатывать и проектировать отказоустойчивое и высокопроизводительное программное обеспечение, которое легко поддерживать, сопровождать;</p> </li> <li> <p>Оценивать тех. долг и планировать рефакторинг;</p> </li> <li> <p>Участвовать в планировании спринтов. Повышать качественные метрики команды;</p> </li> <li> <p>Наши глобальные цели — 99% uptime, и быстрая поставка в бой сервисов с минимальными затратами на разработку (сокращение time to market).</p> </li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li> <p>не менее 2 -х лет разработки на python;</p> </li> <li> <p>навыки работы с системами мониторинга;</p> </li> <li> <p>желателен опыт проектирования HA/HL систем;</p> </li> <li> <p>понимание основных принципов разработки ПО, automation systems, unit tests</p> </li> </ul> <p><u>хорошее знание:</u></p> <ul> <li> <p>python3</p> </li> <li> <p>asyncio</p> </li> <li> <p>shell</p> </li> <li> <p>git</p> </li> </ul> <ul> <li> <p>flask</p> </li> <li> <p>FastApi</p> </li> <li> <p>celery</p> </li> <li> <p>mongodb</p> </li> <li> <p>kafka</p> </li> </ul> <ul> <li> <p>redis</p> </li> <li> <p>design patterns</p> </li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li> <p>место работы - удаленно, или в офисе: Москва, Краснодар, Тюмень, Сургут;</p> </li> </ul> <ul> <li> <p>график работы - пятидневная рабочая неделя (на связи с 10 до 17.00 МСК, 8 часов в день);</p> </li> <li> <p>заработная плата - договорная, выплачивается 2 раза в месяц;</p> </li> <li> <p>льготы для сотрудников и членов семьи на авиаперелеты;</p> </li> <li> <p>возможны непродолжительные командировки (не более недели);</p> </li> <li> <p>оплачиваемые больничные и отпуска;</p> </li> <li> <p>возможность участия в реферальной программе по поиску данного специалиста (за выход на работу Бэкенд - разработчика (Python) в отдел проектирования и разработки вознаграждение 140 000 рублей).</p> </li> </ul> <p>Для участия в реферальной программе необходимо написать в адрес ПАО «Авиакомпания «ЮТэйр» на электронную почту, указанную в контактной информации, и мы свяжемся с вами.</p> <p> </p>","https://hh.ru/vacancy/50110805","1","Москва","FALSE","220000","150000"
"2021","75000","2021-03-14","2021-03-14 16:29:22+00","0","150000","1","","Фронтенд-разработчик React","43017898","","","RUR","2021-03-14 16:29:22+00","2021-03-15 03:06:41.104105+00","https://api.hh.ru/vacancies/43017898?host=hh.ru","Девхаб","<p>Привет! Меня зовут Алексей, я тимлид по фронтенду в команде Девхаба.</p> <p>Ищем крепкого мидл фронтендера на React для одного из наших проектов — французского AgroTech-стартапа MyEasyFarm.<br />MyEasyFarm — первая облачная платформа для фермерства и точного земледелия. Платформа общается с техникой по протоколу ISOBUS, получает прогнозы с метеостанций и следит за посевами по спутниковым снимкам. MyEasyFarm — победитель рейтинга FoodTech 500, платформой пользуются тысячи фермеров во Франции, Италии и других странах.</p> <p><strong>Что мы предлагаем</strong></p> <ul> <li>До 150 000 ₽ в месяц по отработанным часам в зависимости от опыта и результатов испытательного срока.</li> <li> <p>Официальное оформление.</p> </li> <li> <p>Профессиональный рост. Возможность переходить между проектами для обогащения опыта разработки.</p> </li> <li> <p>Карьерный рост. Если вы хотите стать тимлидом, архитектором или РМ-ом, мы только за и поможем вам в этом.</p> </li> <li> <p>Гибкий график. Наш фултайм — 30 часов в неделю. Работайте, когда вам удобно. Главное, чтобы с 10 до 18 по Москве вы были на связи: читали почту, отвечали на сообщения.</p> </li> </ul> <p><strong>Вам потребуется</strong></p> <ul> <li> <p>хорошее владение Flow, React+Redux;</p> </li> <li> <p>понимание Stylus и CSS Modules для взаимодействия с верстальщиком;</p> </li> <li> <p>опыт работы с универсальными (server side rendering) приложениями;</p> </li> <li> <p>знание Webpack;</p> </li> <li> <p>любовь к тестам и желание их писать.</p> </li> </ul> <p>Будет плюсом, если вы:</p> <ul> <li> <p>знаете React Native;</p> </li> <li> <p>работали с redux-observable, mobx, graphql;</p> </li> <li> <p>создавали архитектуру больших приложений с нуля;</p> </li> <li> <p>работали со Storybook для документирования интерфейсов.</p> </li> </ul> <p><strong>О Девхабе</strong></p> <p>Девхаб помогает амбициозным стартапам и корпорациям создавать интернет-проекты. За одиннадцать мы создали 92 проекта.</p> <p>Предпочитаем SPA-архитектуру, выносим шаблонизацию и часть логики на фронтенд. Пишем асинхронные бэкенды, с API которых работают наши фронтендеры. Используем Typescript, React+Redux, Webpack для сборки/разработки и развиваем open source библиотеку компонентов — @dvhb/ui﻿ и @dvhb/rjsf-ui. Мобильные приложения пишем на React Native, десктопные — на Electron. Пробуем Flutter в качестве альтернативного стека на небольших проектах. Стек технологий можно посмотреть в нашем Tech Radar: https://techradar.dvhb.com/frontend.</p> <p>Комфортную работу, вёрстку и написание кода обеспечивают грамотные верстальщики и бэкенд-разработчики. Верстаем react-компонентами с помощью Sass, PostCSS и CSS Modules. Для бэкендов используем Python, Django, Asyncio и PostgreSQL с обязательным описанием спецификации API в Swagger или OpenAPI. Серверной средой заведуют DevOps-инженеры, там у нас Jenkins, Docker, Ansible и многое другое.</p> <p>Работаем по принципам Agile. Управляем проектами в Jira, ведем документацию в Confluence, коммуницируем в Slack. Проектами руководят менеджеры с техническим бэкграундом.</p> <p>Нам интересно осваивать новые библиотеки и технологии, разрабатывать и участвовать в opensource-проектах. Придерживаемся методологии повторного использования кода.</p> <p><strong>Если вас заинтересовала вакансия</strong></p> <p>Нажмите зелёную кнопку и отправьте резюме. Мы не требуем сопроводительного письма, но при взаимной симпатии попросим рассказать о себе.</p> <p> </p> <p> </p>","https://hh.ru/vacancy/43017898","1","Москва","FALSE","150000","0"
"2020","125000","2020-11-17","2020-11-17 11:07:13+00","100000","150000","","","Фронтенд разработчик / Frontend developer","40473965","","1","RUR","2020-11-17 11:07:13+00","2020-11-19 03:02:57.212005+00","https://api.hh.ru/vacancies/40473965?host=hh.ru","Воркинг Ворк","<p>Анатомия сна - федеральный интернет-магазин популярных отечественных и зарубежных производителей матрасов, кроватей, мебели и аксессуаров для сна.</p> <p>Компания &quot;Анатомия Сна&quot; основана в 2011 году. За это время накоплен неоценимый опыт работы в сфере реализации товаров для сна. Представительства компании есть в 24 городах России.</p> <p>Мы стабильно растем, требуется все больше автоматики, интеграций и новых фич, поэтому расширяем команду разработки. Работаем с e-commerce системой. Но нам не хватает опытного Frontend-разработчика, который поможет сделать наш функционал ещё лучше.</p> <p>Фронтенд разработчик / Front-end / Frontend developer</p> <p><strong>Задачи:</strong></p> <ul> <li>Кроссплатформенная и кроссбраузерная верстка;</li> <li>Рефакторинг существующего кода (сейчас используется чистый js).</li> </ul> <p><strong>Необходимый опыт и навыки:</strong></p> <ul> <li>Отличное знание JavaScript/TypeScript;</li> <li>Уверенное владение React/Redux или Angular;</li> <li>Знание TypeScript;</li> <li>Отличное знание HTML/CSS;</li> <li> <p>Опыт работы с Twig;</p> </li> <li>Понимание взаимодействия с серверной частью (JSON, REST API).</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>График: 5 / 2. С 9:00 до 18:00 (график выбираете самостоятельно, но важно отработать 40 часов в неделю);</li> <li>Испытательный срок до 2-х месяцев (может быть меньше, в зависимости от результатов);</li> <li>Возможно как официальное трудоустройство, так и работа в статусе самозанятого;</li> <li>Оплачиваемый ежегодный отпуск;</li> <li>Работу в компании с вменяемым руководством и адекватным отношением к сотрудникам;</li> <li>Заработная плата без задержек 2 раза в месяц и индексация по результатам работы;</li> <li>Профессиональный, молодой, дружный коллектив;</li> <li>Участие в программах развития, внешних и внутренних тренингах;</li> <li>Скидки на продукцию компании.</li> </ul>","https://hh.ru/vacancy/40473965","2","Санкт-Петербург","FALSE","150000","100000"
"2020","125000","2020-12-22","2020-12-22 06:28:35+00","100000","150000","","","Frontend developer (фронтенд-разработчик)","40913477","","","RUR","2020-12-22 06:28:35+00","2020-12-22 11:03:18.91073+00","https://api.hh.ru/vacancies/40913477?host=hh.ru","МайВед","<p>Привет!</p> <p>Ищем в команду еще одного хорошего веб-технолога, который на постоянной основе занимался бы нашим основным сайтом mywed.com и спец-проектами.</p> <p> </p> <p><strong>Требования:</strong></p> <p>• Отличное знание и практический опыт JavaScript (ES5, ES6), Webpack, npm<br />• Хорошее знание SASS/LESS, БЭМ, Babel<br />• Понимание работы WebSocket и GraphQL<br />• Знание паттернов проектирования и умение их применять на практике<br />• Понимание архитектуры и работы Web-приложений</p>","https://hh.ru/vacancy/40913477","1","Москва","FALSE","150000","100000"
"2020","45000","2020-10-14","2020-10-14 12:55:27+00","30000","60000","","","Junior JavaScript Developer / Младший Фронтенд Программист","39595803","","","RUR","2020-10-14 12:55:27+00","2020-10-15 06:51:54.719207+00","https://api.hh.ru/vacancies/39595803?host=hh.ru","Мел","<p>Мел – это мультиформатное медиа про детей, образование и воспитание. Мел запустился более четырех лет назад и уже стал самым популярным изданием для родителей с ежемесячной аудиторией более 4 млн. уникальных пользователей в месяц.</p> <p>Junior позиция – это и работа с первого дня, и интенсивное обучение. Все в параллели, притом учиться придется много и усердно. Чтобы обучение шло бодрее, стартовые команды собираются из опытных тимлидов (для наставничества), и других junior разработчиков (для обмена опытом).</p> <p>Мы ищем разработчиков с желанием участвовать в полном продуктовом цикле: проектирование мокапов, обсуждение дизайна, программирование и тестирование.</p> <p><strong>Задачи:</strong></p> <ul> <li>командная фронтенд разработка, программирование и верстка интерфейсов</li> <li>технологический стек: React, TypeScript, HTML+CSS, Git</li> <li>обучение на большой скорости, как с помощью наставников, так и самостоятельно</li> <li>участие в проектировании архитектуры</li> </ul> <p><strong>Основные требования:</strong></p> <ul> <li>опыт программирования на любых языках или профильное образование</li> <li>обязательно: базовое представление о web разработке</li> <li>способность к самообучению</li> <li>продуктовая вовлеченность, желание развивать продукт</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>возможность посмотреть код на собеседовании</li> <li>наличие личных программерских проектов или набросков. Все, что может продемонстрировать увлеченность программированием. Не обязательно веб на ангуляре, игрушка на Unity тоже подойдет</li> <li>знание ООП</li> <li>опыт программирования на TypeScript или строго типизированных компилируемых языках</li> <li>знакомство с React, Angular, backend</li> <li>Git (особенно ценно умение работать из консоли)</li> </ul> <p><strong>О нас:</strong></p> <ul> <li> <p>оформление по ТК РФ</p> </li> <li> <p>не опенспейс, офис разбит на небольшие комнаты</p> </li> <li> <p>40-часовая рабочая неделя, время прихода на работу индивидуальное</p> </li> <li> <p>строго офисная командная работа. Удаленка возможна только в случае форс-мажоров и очень редко</p> </li> </ul> <ul> </ul>","https://hh.ru/vacancy/39595803","1","Москва","FALSE","60000","30000"
"2021","65000","2021-10-14","2021-10-14 03:12:53+00","40000","90000","","","Разработчик Python (Flask/Django) со знанием фронта, Vue","48629127","","","RUR","2021-10-14 03:12:53+00","2021-10-15 03:04:38.113675+00","https://api.hh.ru/vacancies/48629127?host=hh.ru","УЦ Профстандарт","<p><strong>Приглашаем в нашу команду программиста на Python (для удаленной работы)</strong></p> <p>Мы группа компаний по охране труда SWEB GROUP – лидеры в своей отрасли.</p> <p>10 лет мы помогаем нашим клиентам соблюдать законодательство в области охраны труда, а труд их работников делаем безопасным.</p> <p><strong>О проекте:</strong></p> <p>Вакансия открыта для направления дистанционного обучения &quot;Profstandart&quot; - наша собственная платформа для дистанционного обучения на предприятиях. В данный момент у нас более 200 различных обучающих курсов и сотни клиентов по всей стране. Цель проекта - сделать автоматизированную систему обучения для клиентов (крупных предприятий), а также автоматизировать внутренние процессы нашей компании.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка сложного web-сервиса и системы автоматизации в крупной компании, в качестве back-end разработчика.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Хорошие навыки программирования на Python;</li> <li>Опыт работы с Flask / другими RESTful фреймворками;</li> <li>Опыт работы с базами данных (MySQL, PgSQL и т.д.);</li> <li>Знание сетевых протоколов;</li> <li>Опыт работы в коммерческих проектах и наличие портфолио будет Вашим преимуществом.</li> </ul> <p><strong>Предлагаем:</strong></p> <ul> <li>Конкурентоспособную заработную плату</li> <li>Гибкий график работы;</li> <li>Возможность работать удаленно.</li> </ul> <p><strong>Ключевые навыки</strong></p> <p>Python</p> <p>MySQL</p> <p>Flask</p>","https://hh.ru/vacancy/48629127","2","Санкт-Петербург","FALSE","90000","40000"
"2020","125000","2020-11-03","2020-11-03 06:35:19+00","110000","140000","","","Node.js разработчик. Бэк-энд для AI проекта.","40190770","","","RUR","2020-11-03 06:35:19+00","2020-11-03 11:02:23.997269+00","https://api.hh.ru/vacancies/40190770?host=hh.ru","АК Альянс","<p>Мы продуктовая компания из Риги - Spacer.World. Молодая компания, которая сфокусирована на разработки сервисов по оцифровки людей и коммерции вокруг них.</p> <p>Кого мы ищем:</p> <p>Back-end специалиста c опытом разработки архитектур платформенных сервисов для разработки архитектуры/имплементации сервера сервиса по оцифровки одежды в 3Д. </p> <p>Cтэк:</p> <ul> <li>Accounts: Firebase</li> <li>Storage: Firebase storage</li> <li>DB: Firestore</li> <li>Server: Express.js + Docker</li> </ul> <p><strong>Задачи:</strong></p> <p>Разработка архитектуры сервиса, имплементация и тесты.</p> <p><strong>Требования:</strong></p> <ul> <li> <p>System Design</p> </li> <li>NoSQL</li> <li>Firebase</li> <li>Firestore</li> <li>Docker</li> <li>Node.js</li> </ul>","https://hh.ru/vacancy/40190770","1","Москва","FALSE","140000","110000"
"2021","60000","2021-01-11","2021-01-11 11:23:50+00","50000","70000","","","Junior front-end developer/Младший фронт-разработчик","41467064","","","RUR","2021-01-11 11:23:50+00","2021-01-13 11:00:04.20634+00","https://api.hh.ru/vacancies/41467064?host=hh.ru","ВМА","<p><strong>ВМА </strong>- это digital команда, которая занимается разработкой и поддержкой официальных интернет-магазинов (<strong>Philips, Olympus, Grohe, Castrol, DeWalt</strong><strong> </strong>и тд). Мы развиваем уникальную на рынке IT платформу для интернет-коммерции. Она состоит из множества модулей собственной разработки, приложений и сервисов: CRM, ERP, телефония, логистика, маркетинг, интранет, мобильные приложения и др. У нас собственная служба доставки по Московскому региону. Мы постоянно реализовываем маркетинговые мероприятия для создания трафика посетителей и повышения конверсии.</p> <p><br /><strong>Наша платформа обеспечивает работу порядка 20 официальных интернет-магазинов.</strong></p> <p><strong>Наш основной стек:</strong><br /><br />HTML, CSS (Less), JavaScript (jQuery, Vanilla, VueJS)</p> <p><strong>Что мы предлагаем:</strong></p> <p><em>Работу над e-commerce направлением с брендами А класса.<br />Команду опытных разработчиков, с которой вы будете разрабатывать новые и поддерживать текущие проекты.</em></p> <ul> <li>Интересную работу с разнообразными функционалом;</li> <li>Решение задач в рамках спринта, под руководством опытного тимлида (в команде из 7 человек);</li> <li>Профессиональное развитие.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Навыки адаптивной и кроссбраузерной верстки;</p> </li> <li> <p>Базовые знания HTML, CSS, JavaScript;</p> </li> <li> <p>Уметь верстать письма;</p> </li> <li> <p>Работать с IDE;</p> </li> <li> <p>Умение тестировать свою работу перед сдачей.</p> </li> </ul> <p><strong>Плюсом будет:</strong></p> <ul> <li> <p>Умение работать с git;</p> </li> <li> <p>Знание Sass/Less;</p> </li> <li> <p>Работа с MJML/Foundation</p> </li> <li> <p>Базовые знания PHP (на уровне работы в шаблонах);</p> </li> <li> <p>Чувство стиля и юзабилити, UX-дизайн;</p> </li> <li> <p>Уметь работать в команде;</p> </li> <li> <p>Опыт работы с БЭМ.</p> </li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Верстка промо-страниц, email рассылок;</li> <li>Взаимодействие с командой разработчиков;</li> <li>Гибкое переключение между задачами, нагрузка распределяется по спринтам.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Оформление: ТК РФ, <strong>белая заработная плата</strong>;</li> <li>График работы 5/2;</li> <li>Гибкое начало рабочего дня: с 8, 9, 10 или 11 утра;</li> <li>Работа в креативном офисе, в профессиональной команде, имеющей огромный опыт работы в электронной коммерции;</li> <li>Посещение профильных конференции и обучение за счёт компании;</li> <li>Корпоративные скидки и закрытые распродажи для сотрудников в брендовых магазинах;</li> <li>Футбольный, волейбольный, беговой, горнолыжный клубы;</li> <li>Кикер, настольный теннис, PS;</li> <li>Тематические корпоративы;</li> <li>Свежевыжатый смузи и ароматный зерновой кофе ☕️.</li> </ul>","https://hh.ru/vacancy/41467064","1","Москва","FALSE","70000","50000"
"2020","60000","2020-12-02","2020-12-02 08:22:42+00","0","120000","1","","Бэкенд разработчик (Bitrix + Symfony), удаленно","40749955","","","RUR","2020-12-02 08:22:42+00","2020-12-05 07:06:14.300391+00","https://api.hh.ru/vacancies/40749955?host=hh.ru","IT-People.ru","<p>Наш клиент - диджитал-агентство с проектами в дизайне, видео, рекламе, веб-разработке. Компания не большая, но с богатой историей и крутыми проектами. Среди клиентов крупные компании как Kaspersky, ВТБ, Gett, Microsoft.</p> <p>Команда разработки небольшая: 2 фронтенд разработчика, бэкендер, тестировщик, СТО. Разработка - не основное направление для ребят, но всегда есть проекты и на разработку в том числе. Ребята занимаются сайтами с кастомными админками на symfony, есть проект в связке bitrix+symfony, и планируется дальнейшая разработка подобных проектов.<br />От битрикса ребята не используют фронтенд, вместо этого на symfony делают api для фронтенда, а от битрикса остаётся только управление базой данных и админский интерфейс.</p> <p><strong>От кандидата ждем:</strong></p> <ul> <li>Знание PHP (обязательно), Symfony (как плюс);</li> <li>Богатый опыт работы с 1C-Bitrix (нужен самостоятельный эксперт);</li> <li>Умение работать с bitrixenv, CentOS, MySQL, SQLite, Nginx, Docker, ssh;</li> <li>Умение работать с git, gitlab.</li> </ul> <p> </p> <p><strong>От компании:</strong></p> <ul> <li>Удаленная работа;</li> <li>График гибкий, но нужно быть на связи в рабочее время.</li> </ul> <p> </p>","https://hh.ru/vacancy/40749955","1","Москва","FALSE","120000","0"
"2020","366570","2020-12-10","2020-12-10 17:47:50+00","3500","5500","","","Senior Front-end Developer (Ведущий фронт-энд разработчик)","40408494","","","USD","2020-12-10 17:47:50+00","2020-12-13 15:03:55.162194+00","https://api.hh.ru/vacancies/40408494?host=hh.ru","BookedBy","<p>Bookedby, создатель Salon Ultimate, предоставляет самое передовое в отрасли облачное программное обеспечение и решение для точек продаж, переосмысливающее способ работы компаний, работающих с клиентами по записи, и взаимодействия с клиентами. Наша платформа позволяет компаниям легко управлять всеми своими потребностями в записи на прием, рекламных акциях, управлении запасами и обработке продаж с одного устройства.</p> <p>Мы обслуживаем более 2500 клиентов, от отдельных салонов до крупных сетей с тысячами отделений. Компания Bookedby, основанная в 2011 году, продолжает поддерживать компании, которые ценят эффективность и удовлетворенность клиентов как высшие критерии успеха.</p> <p>Мы ищем ведущего разработчика на React для работы над внедрением новых функций как для наших продуктов Bookedby, так и для Salon Ultimate, которые используются на мобильных устройствах, планшетах, веб-и настольных компьютерах. Идеальный кандидат уже имеет солидную историю разработки приложений в React. Это прекрасная возможность для любознательных, увлеченных и творческих людей, решающих проблемы, стремящихся учиться и вносить свой вклад в быстрорастущую среду</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка новых адаптивных веб-приложений с использованием React.js и добавление новых функций к нашему существующему программному обеспечению</li> <li> <p>Интеграция приложений с нашими существующими или новыми облачными сервисами</p> </li> <li> <p>Перевод дизайнов и макетов в качественную, поддерживаемую, pixel-perfect верстку</p> </li> <li> <p>Оптимизация компонентов пользовательского интерфейса для обеспечения максимальной производительности во всех основных браузерах</p> </li> <li> <p>Принятие во внимание всех возможных сценариев использования</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы с одним из современных фреймворков: React, Angular, Vue</li> <li> <p>Глубокий опыт работы с React и Redux будет плюсом</p> </li> <li> <p>Практический опыт работы с Typescript, ES6, Webpack, Babel, NPM/Yarn</p> </li> <li>Опыт создания адаптивных веб-сайтов и обеспечения совместимости со всем спектром современных настольных и мобильных браузеров</li> <li> <p>Опыт работы по крайней мере с одним CSS-фреймворком (например, Twitter Bootstrap)</p> </li> <li> <p>Опыт создания приложений, которые взаимодействуют с сервером через REST API</p> </li> <li> <p>Опыт работы с Git</p> </li> <li> <p>Понимание объектно-ориентированных конструкций и принципов</p> </li> <li> <p>Опыт работы с многопоточностью, оптимизация производительности</p> </li> <li> <p>Отличные коммуникативные навыки, в том числе работа с удаленными членами команды</p> </li> <li> <p>Базовое знание английского языка</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>Интересные и сложные проекты</p> </li> <li> <p>Современные технологии</p> </li> <li> <p>Распределенная международная команда с 6 офисами по всему миру</p> </li> <li> <p>Возможность работы удаленно</p> </li> </ul>","https://hh.ru/vacancy/40408494","1","Москва","TRUE","448030","285110"
